X,Y,Name,description,gx_media_links
80.144298,7.078449,"Priyangani Communication	6B MeewithiGammana Urapola","Priyangani Communication	6B MeewithiGammana Urapola<br>7.078416666666667, 80.14416666666666",
80.091233,7.112646,"Siyasi Communication 	61 Kattimahara Nittambuwa","Siyasi Communication 	61 Kattimahara Nittambuwa<br>7.112583333333333, 80.09116666666666",
80.028727,7.032878,"jayamini Communication 	303/1 New kandy Rd, Weliweriya","jayamini Communication 	303/1 New kandy Rd, Weliweriya<br>7.03325, 80.02851666666666",
80.111833,7.124591,"Ananda BookShop	294 Attanagalla Rd, Wathupitiwala","Ananda BookShop	294 Attanagalla Rd, Wathupitiwala<br>7.124433333333333, 80.11165",
79.900775,7.02355,"Sharmila Agency Post office 	No 108Ethupitiwala Ragama","Sharmila Agency Post office 	No 108Ethupitiwala Ragama<br>7.0236346, 79.9007642",
79.988751,7.229293,"New Shanika Mobile	28 Negombo Rd, marandagahamula","New Shanika Mobile	28 Negombo Rd, marandagahamula<br>7.229485, 79.988591",
79.874532,7.140113,"Jayalath APO and Communication 	Liyanagemulla Siduwa","Jayalath APO and Communication 	Liyanagemulla Siduwa<br>7.1401666666666665, 79.87295",
79.876871,7.14303,"max Communication	252 Church Rd, Liyanagemulla, Seeduwa","max Communication	252 Church Rd, Liyanagemulla, Seeduwa",
80.013192,7.217138,"Alpasonic Phoneshop	Opesit Hospital Diulapitiya","Alpasonic Phoneshop	Opesit Hospital Diulapitiya<br>7.2172833333333335, 80.0131",
79.964011,7.184248,"Ama Communication	Nilpanagoda Miluwangoda","Ama Communication	Nilpanagoda Miluwangoda<br>7.1845, 79.96383333333332",
79.84108,7.204365,"Wasana Communication 	Kadolkele Negombo","Wasana Communication 	Kadolkele Negombo<br>7.202983333333333, 79.8379",
79.840994,7.226824,"J Q Communication	No 110b Lewis Place Kudapaduwa Negombo","J Q Communication	No 110b Lewis Place Kudapaduwa Negombo<br>7.2269, 79.84098333333332",
80.070012,7.162511,"Sachini Phoneshop	153 Negombo Rd, Weyangoda","Sachini Phoneshop	153 Negombo Rd, Weyangoda<br>7.166033333333333, 80.06016666666666",
80.116639,7.182332,"Sandani Communication	289 Mallahawa , Kaleliya","Sandani Communication	289 Mallahawa , Kaleliya<br>7.183333, 80.116667",
80.021002,7.122547,"Bellway Communication 	main st. Bemmulla","7.1224248, 80.0204203<br>Bellway Communication 	main st. Bemmulla",
79.966757,7.01239,"Namal Communication	92/2 Ganemulla Rd, Kadawatha","7.0148579, 79.9683237",
80.413592,8.144012,"CH Communication 	Thambuttegama Rd, Eppawala","CH Communication 	Thambuttegama Rd, Eppawala<br>8.1468376, 80.4155875",
80.419493,7.893734,"Madhushani Communication	Ehatuwawa, Nikawaratiya","Madhushani Communication	Ehatuwawa, Nikawaratiya",
80.500131,8.274264,"3 Sisters Communication	Yakalla Jun, Galkulama","3 Sisters Communication	Yakalla Jun, Galkulama<br>8.269933333333334, 80.50256666666666",
80.512233,8.35847,"Lakpura Welandasela	C2 New Town, TrinCommunicationaly Rd Mihinthalaya","Lakpura Welandasela	C2 New Town, TrinCommunicationaly Rd Mihinthalaya<br>8.358483333333334, 80.51216666666667",
80.591927,8.382098,"Teleprint Communication 	Trinco Rd, Seeppukulama","Teleprint Communication 	Trinco Rd, Seeppukulama<br>8.3823, 80.59453333333333",
80.539591,8.609664,"SriTell Communication	Kakirawa Rd, Galenbindunuwewa","SriTell Communication	Kakirawa Rd, Galenbindunuwewa<br>8.583333, 80.55",
80.825794,8.555687,"Sisara Communication	Trinco Rd, Horowpathana","Sisara Communication	Trinco Rd, Horowpathana<br>8.557466666666666, 80.82518333333333",
80.688529,8.426421,"Seetha Communication 	Kahatagasdigiliya","Seetha Communication 	Kahatagasdigiliya<br>8.429666666666666, 80.69355",
80.249634,8.689639,"Nawas Communication 	Konwewa, Mahapathana","Nawas Communication 	Konwewa, Mahapathana<br>8.790816666666666, 80.20941666666667",
80.669603,8.64085,"Data Communication 	5 Padawiya Rd, Kebithigollewa","8.640716666666666, 80.66956666666667<br>Data Communication 	5 Padawiya Rd, Kebithigollewa",
80.489016,8.550934,"NAP Communication 	Jaffna Rd, Medawachchciya","8.551128, 80.48888371<br>NAP Communication 	Jaffna Rd, Medawachchciya",
80.670762,8.519486,"Priyanka Communication	Kurunegala Rd Shawasthipura","Priyanka Communication	Kurunegala Rd Shawasthipura<br>8.522383333333333, 80.66923333333334",
80.444663,8.044357,"Nishanthi Communication	08 Jaya Mw, Bulnewa","Nishanthi Communication	08 Jaya Mw, Bulnewa<br>8.04435, 80.4446",
80.218349,8.163257,"Ojith Cellular Center 	5th Mile Post, Rajanganaya","Ojith Cellular Center 	5th Mile Post, Rajanganaya<br>8.163166666666667, 80.21826666666666",
80.214234,8.265245,"Suneth Mobile 	408 Puttalam Rd, Nochchiyagama","Suneth Mobile 	408 Puttalam Rd, Nochchiyagama<br>8.2636, 80.21041666666666",
80.2671,8.488332,"Kavinda Text 	Thambiyawa, Thantirimale","Kavinda Text 	Thambiyawa, Thantirimale<br>8.51075, 80.23786666666666",
80.311604,8.394262,"Inoka Stors 	Elayapattuwa , Anuradhapuraya","Inoka Stors 	Elayapattuwa , Anuradhapuraya<br>8.3942, 80.31126666666667",
80.201397,8.492237,"jayamini Communication 	Randuwa, Pe'maduwa","jayamini Communication 	Randuwa, Pe'maduwa<br>8.496483333333333, 80.20093333333334",
80.188866,8.444526,"Dharshani Communication 	Dakunu Iyura School jun, Pe'maduwa","Dharshani Communication 	Dakunu Iyura School jun, Pe'maduwa<br>8.494383333333333, 80.18808333333334",
80.149384,8.487992,"Asanka Multishop 	Bogas Jun, Mahawilachchiya","Asanka Multishop 	Bogas Jun, Mahawilachchiya<br>8.485716666666666, 80.16681666666666",
80.611839,7.998037,"ICM Communication	New Town Pubbogama Galkiriyagama","ICM Communication	New Town Pubbogama Galkiriyagama<br>7.9942974, 80.654068",
80.467601,8.316603,"Ashoka CD House	Kandy Rd Kalattewa","Ashoka CD House	Kandy Rd Kalattewa<br>8.316667, 80.466667",
80.352631,7.923234,"Roshan Grosary	Galkiriyagama","Roshan Grosary	Galkiriyagama",
80.240021,7.918197,"T&T Teleshop	Anuradhapura Rd, Ambanpola","T&T Teleshop	Anuradhapura Rd, Ambanpola",
80.332375,8.224063,"Mangala Call Center 	Anuradhapura Rd Thalawa","Mangala Call Center 	Anuradhapura Rd Thalawa",
81.701546,7.718583,"LOURTH MULTY SHOP	ARASADY, BATTICALOA","LOURTH MULTY SHOP	ARASADY, BATTICALOA",
81.81613,7.436518,"JAHI MOBILE	MAIN STREET, MARUTHAMUNAI","JAHI MOBILE	MAIN STREET, MARUTHAMUNAI",
81.790981,7.5006,"JAYAKANTHAN COMMUNICATION	KANNAN KUDAH, BATTICALOA","JAYAKANTHAN COMMUNICATION	KANNAN KUDAH, BATTICALOA",
81.710901,7.712523,"NIJA MULTY SHOP	MAIN STREET, KALLADY, BATTICALOA","NIJA MULTY SHOP	MAIN STREET, KALLADY, BATTICALOA",
81.848917,7.289085,"Phone World Communication 	Light House Rd. Oluvil","Phone World Communication 	Light House Rd. Oluvil",
81.848552,7.275612,"D Link Communication	Main St, Palamunai	772231821	Ampara","D Link Communication	Main St, Palamunai	772231821	Ampara	81.8486596",
81.847501,7.35355,"Akkar Mobile	 Main St, Ninthavur","Akkar Mobile	 Main St, Ninthavur",
81.628397,7.273824,"Ashini Communication	Namal Oya ,Ampara.","Ashini Communication	Namal Oya ,Ampara.",
80.60051,7.916433,"ICM Computer School	","ICM Computer School	Madatugama	New Town, Pubbogama.	772658400<br>7.916667, 80.6",
80.850062,8.549958,"Alankar Jewellery	Maradankadawala	NO: 100, Main Street, Maradankadawala.	774606552","Alankar Jewellery	Maradankadawala	NO: 100, Main Street, Maradankadawala.	774606552<br>8.55, 80.85",
80.47451,8.036284,Sameera Communication,"8.0369633, 80.4745102<br>Sameera Communication	Galnewa	New Town, Galnawa	773196590",
80.399837,8.266365,Iresha Commiunication,"8.266667, 80.4<br>Iresha Commiunication	Nachchaduwa	Kuda Nelubawa, Hidogama	773196589",
80.41518,8.315393,Ranaweera & Sons,"Ranaweera & Sons	Anuradhapura	42/3, Kada 50, Anuradhapura	777410510<br>8.3200424, 80.4099655",
80.769274,8.840994,B-M-A-Phone Shop,"B-M-A-Phone Shop	Parakramapura	No-2, New Market, Padavi, Parakkrama Pura.	778462730<br>8.8436866, 80.7680511",
80.760369,8.834103,Pathiraja Communications,"Padavi Sripura	Singha Pura Rode, Padavi, SriPura.	778462885<br>8.8436866, 80.7680511",
80.216331,7.808623,Nawas Communication,"7.8, 80.2<br>Nawas Communication	Horowpathana - Kahatagasdigiliya	Koonwewa, Mahapothana	773196058",
80.720673,8.310021,Placemark 114,"Galenbidunuwewa	Katukeliyawa, Upuldeniya.	773390934<br>8.316667, 80.683333",
80.832102,8.549406,Keerthi Communication,"Keerthi Communication	Horowpathana - Kahatagasdigiliya	Trinco Road, Horowpathana.	773196062<br>8.5494642, 80.8320406",
80.220881,8.15321,Irunica Communication,"Irunica Communication	Nochchiyagama	Track 14, Rajanganaya, Kalaoya.	772574903<br>8.1530399, 80.2204513",
80.403271,8.29915,Hi-tec Communication,"Hi-tec Communication	Anuradhapura	No:26, Public Market, Anuradhapura	773193028",
80.585682,8.383414,tele print,"tele print	Seeppukulama	Trinco Road,Seeppukulama	254908082<br>8.383333, 80.583333",
80.526781,8.019456,Walaswewa Stores,"Walaswewa Stores	Awkana	Jyamawatha, Awkana.	773801993<br>8.016609, 80.516525",
80.530429,7.984204,New N.J.S. Stores,"Balaluwewa	JyaMw. Balaluwewa, Alagala.	773801083<br>7.9844377, 80.5303001",
80.364561,8.185622,Nilmini Stores,"Nilmini Stores	Eppawala	Ihalawewa, Kiralogama	773196579<br>8.183333, 80.366667",
80.096512,8.118373,Deepani Commiuniction,"Deepani Commiuniction	Eppawala	Ranajaya Pura, Ipologama.	774607406<br>8.116667, 80.1",
80.533733,8.022685,RU communication ,"RU communication 	Kalawewa	Kalawea jcn,Vijithapura	776189328<br>8.0228128, 80.5333471",
80.759618,8.834273,Prince Mobile,"Prince Mobile	Palugas wanguwa	Padavi sripura	7767070061/0711017050<br>8.8389372, 80.7673645",
80.658188,8.646196,Data Communication,"Data Communication	Kebithigollewa	Padaviya road, Kebithigollewa	773197541",
80.795517,8.776511,"Suleka Phone House 	Padaviya	Padavi 	775459791","Suleka Phone House 	Padaviya	Padavi 	775459791",
80.565598,8.051794,Deshan Communication,"Deshan Communication	Gonapathirawa	84,Kekirwa Road, Gonapathirawa	773390956",
80.595531,8.039938,"Ananada record bar	","Ananada record bar	Thalawa	20 , KEKIRAWA ROAD , THALAWA	777157340",
80.295467,8.15202,Tharu Communication,"Tharu Communication 	Rejina Jcn_Thambuttegama	Rejina Jcn_Thambuttegama	773312233",
80.019114,6.958803,"M Hasmath	Amani Communication	675, Walgama, Malawana	772920868","M Hasmath	Amani Communication	675, Walgama, Malawana	772920868<br>6.9587182, 80.0191275",
79.917448,6.996673,"S.H Dharmadasa	Bodha Communication	534/3,Ederamulla Watta	112949266","S.H Dharmadasa	Bodha Communication	534/3,Ederamulla Watta	112949266",
79.924636,6.955353,"P.D.S.Samarajeewa	Tharani  Comm	340,Biyagama rd, Kelaniya	775265265	Gampaha","P.D.S.Samarajeewa	Tharani  Comm	340,Biyagama rd, Kelaniya	775265265	Gampaha",
79.885991,6.955736,"K.C.Thushara	 C  P	257 B,Kandy rd,Peliyagoda	714191363","K.C.Thushara	 C  P	257 B,Kandy rd,Peliyagoda	714191363",
79.900002,6.966599,"M.A.Rajapaksha	Tharanga   commm	1,Thorana juction Kelaniya	771611120","M.A.Rajapaksha	Tharanga   commm	1,Thorana juction Kelaniya	771611120",
80.012269,7.101148,"KAD Parakrama Lalith Kumara	Samanala Communication	155/3, Bandarawatta, Biyagama	777313184","KAD Parakrama Lalith Kumara	Samanala Communication	155/3, Bandarawatta, Biyagama	777313184",
79.91365,6.97695,"Dineshika Piyadarshani	Dinepriya Communication & Bookshop	167/N, Wevelduwa , Kelaniya	717328128","Dineshika Piyadarshani	Dinepriya Communication & Bookshop	167/N, Wevelduwa , Kelaniya	717328128",
79.913478,7.030109,"F.S.G Silva	Surasa Multishop	314 ,Atakorasa ,Ragama	771859267","F.S.G Silva	Surasa Multishop	314 ,Atakorasa ,Ragama	771859267",
79.92367,7.033367,"P Susantha	New Samagi Communication	2A,Negambo Road, Matumagala , Ragama	776199253","P Susantha	New Samagi Communication	2A,Negambo Road, Matumagala , Ragama	776199253",
79.946866,7.163852,"vipula Dewapriya	Quick Communication(vipula communication)	Gampaha	775955955","vipula Dewapriya	Quick Communication(vipula communication)	Gampaha	775955955",
80.014114,7.089309,"ASJ Weerarathna	Sandeepa Stores	344B. , Doranagoda East, Benmulla	773802290","ASJ Weerarathna	Sandeepa Stores	344B. , Doranagoda East, Benmulla	773802290",
79.909916,7.04968,"LPWB Jayasinghe	Janahitha Communication	Hanwella Rd, Hapugoda	773955468","LPWB Jayasinghe	Janahitha Communication	Hanwella Rd, Hapugoda	773955468",
80.050614,6.959591,"Sameera	Express e-Net café	346. Dompe	722882882","Sameera	Express e-Net café	346. Dompe	722882882",
79.981627,7.126039,"JC Darmathilaka	Chamith Communication	14/1. Korasa, Udugampola	77795649","JC Darmathilaka	Chamith Communication	14/1. Korasa, Udugampola	77795649",
80.132389,7.246088,"K.A.S.Ranatunga	Jinathi Communication	Wilwatta,Meerigama	715417157","K.A.S.Ranatunga	Jinathi Communication	Wilwatta,Meerigama	715417157",
80.240364,7.917921,"R.M.T.N. Abesingha	Tharushi Comminication",,
80.290318,7.987668,"H.K.I.P.Sumathipala	ABC Tele Shop","H.K.I.P.Sumathipala	ABC Tele Shop",
80.271778,8.002627,"S.H.M. Fareed	Nadeera Comunication","S.H.M. Fareed	Nadeera Comunication",
80.14904,8.256851,"G. G.P. Chandrakumara	Sithumina  Vidio	On opersite Pansala,Pahala Maragahawewa.	0755860589","G. G.P. Chandrakumara	Sithumina  Vidio	On opersite Pansala,Pahala Maragahawewa.	0755860589",
80.300446,8.402074,"T.M.P.K. Jayawardhana	Jayawardhana Book Shop	Alayapatthuwa,Anuradhapura.	0711113232","T.M.P.K. Jayawardhana	Jayawardhana Book Shop	Alayapatthuwa,Anuradhapura.	0711113232",
80.660763,8.61013,"G.A.C.Ariyadasa.	Chanaka Stores	Lolugaswewa ,Anuradhapura.	0722706000","G.A.C.Ariyadasa.	Chanaka Stores	Lolugaswewa ,Anuradhapura.	0722706000",
80.361729,8.326497,"S.B.Amila Ranil	Darshana Glosary	155/2,Maha Putthalam Para, Pandulagama.	0774607858","S.B.Amila Ranil	Darshana Glosary	155/2,Maha Putthalam Para, Pandulagama.	0774607858",
80.483222,8.548005,"Chamil Asanka Nandasena	Kingston Communication	no.52,Shopping Complex, Madawachchiya .	0716470911","Chamil Asanka Nandasena	Kingston Communication	no.52,Shopping Complex, Madawachchiya .	0716470911",
80.216932,8.172623,"D.A.M. Deepal  Dhammasiri	Prosing Communication	Angamuwa, Rajanganaya.","D.A.M. Deepal  Dhammasiri	Prosing Communication	Angamuwa, Rajanganaya.",
80.486269,8.552928,"Peyadasage Tennakoon	Pasindu Book Shop	Pihibiya gollewa,Madawachchiya.	0716157016","Peyadasage Tennakoon	Pasindu Book Shop	Pihibiya gollewa,Madawachchiya.	0716157016",
80.50571,8.438923,"D D Chathuranga Jayadewa	Chathuranga Communication	Jaffna Rd, Rambewa	0715512894","D D Chathuranga Jayadewa	Chathuranga Communication	Jaffna Rd, Rambewa	0715512894",
80.413442,8.299362,"A L A Bandula	Jayasri Communication	No 13,oppesit the court,Thambuttegama	773804305","A L A Bandula	Jayasri Communication	No 13,oppesit the court,Thambuttegama	773804305",
80.511246,8.357663,"K A B Priyadarshana	Asura Communication	Mihinthalaya Rd,Anuradhapura	772233921","K A B Priyadarshana	Asura Communication	Mihinthalaya Rd,Anuradhapura	772233921",
80.586519,8.058125,"Mr.Shaheed	City comuniction	Ganewalpola Rd,Kekirawa	777513372","Mr.Shaheed	City comuniction	Ganewalpola Rd,Kekirawa	777513372",
80.626688,8.086168,"Mr.Salahudeen	Ameenana Communication	Kekirawa Rd, Ganewalpola","Mr.Salahudeen	Ameenana Communication	Kekirawa Rd, Ganewalpola",
80.500603,8.272608,"Mr.Sunimal	Sunimal Communication	Kawarakkulama, Galkulama	254923362","Mr.Sunimal	Sunimal Communication	Kawarakkulama, Galkulama	254923362",
80.713806,8.289977,"Mr.Buddika	Buddhika Communication	Upuldeniya, Galenbidunuwewa	257912843","Mr.Buddika	Buddhika Communication	Upuldeniya, Galenbidunuwewa	257912843",
80.634499,8.139446,"Mr.Liyanage	Roshki Communication	Gomaran kalla, Galenbidunuwewa	773804234","Mr.Liyanage	Roshki Communication	Gomaran kalla, Galenbidunuwewa	773804234",
80.429535,8.385431,"Mr.Lal	Nimtharu Communication	Jafna Jontion.Anuradhapura	772233918","Mr.Lal	Nimtharu Communication	Jafna Jontion.Anuradhapura	772233918",
80.10797,8.209621,"H B U L Disanayaka	Dineth Communication	Rajanganaya Junction, Kalaoya	0718361981/0254985012","H B U L Disanayaka	Dineth Communication	Rajanganaya Junction, Kalaoya	0718361981/0254985012",
79.771557,9.608874,"Indra com	Main rd, Nagatheepa	771005838","Indra com	Main rd, Nagatheepa	771005838",
80.049906,9.717094,"People cd world	Manippai rd, Jaffna	77352445","People cd world	Manippai rd, Jaffna	77352445",
80.043125,9.67183,"Aingaran com	Point pedro rd, Nallur","Aingaran com	Point pedro rd, Nallur",
80.022612,9.730038,"Abishek mlt shop	K.K.S. rd, Marthanamadam","Abishek mlt shop	K.K.S. rd, Marthanamadam",
80.039434,9.744334,"High tech phone shop	Man street, Chunnagam","High tech phone shop	Man street, Chunnagam",
80.007591,9.769034,"Raam com net	K.K.S. rd, Mallagam","Raam com net	K.K.S. rd, Mallagam",
80.014801,9.696874,"Nelo commnicaton	Elala west, Elala.","Nelo commnicaton	Elala west, Elala.",
79.98682,9.742219,"R.S. commnicaton	Sandilipai junction, Sandlipai","R.S. commnicaton	Sandilipai junction, Sandlipai",
80.034199,9.698736,"Arl vnayagar commcation	Palaly rd, Urmbrai","Arl vnayagar commcation	Palaly rd, Urmbrai",
80.034714,9.712272,"Barathi com	Palaly rd, Koandavil","Barathi com	Palaly rd, Koandavil",
80.020208,9.71371,"Dgital com	Komarankoaddam, Koandavil","Dgital com	Komarankoaddam, Koandavil",
80.169468,9.78316,"Bright Communication	""Main Street, ","Bright Communication	""Main Street, <br>Nelliady.""",
80.200367,9.788742,"Star Com	Karaveddy Center Karaveddy","Star Com	Karaveddy Center Karaveddy",
80.167236,9.806334,"DORA Multi Complex	PPD Road Nelliyady","DORA Multi Complex	PPD Road Nelliyady",
80.150585,9.793479,"World Tel Communication	Kodikamam road Nelliyady","World Tel Communication	Kodikamam road Nelliyady",
80.227833,9.808533,"Welfare Communication	Base Hispital Manthikai","Welfare Communication	Base Hispital Manthikai",
80.216503,9.784005,"Mayura Com	Allayampathy Thunnalai.","Mayura Com	Allayampathy Thunnalai.",
80.19393,9.787981,"Visva Stores	Vathiry road Nelliady","Visva Stores	Vathiry road Nelliady",
80.234184,9.825956,"Thevi Communication	Thumpalai Road  Pointperdo","Thevi Communication	Thumpalai Road  Pointperdo",
80.215302,9.832214,"Namilas Communication	Nellandai Road Pointperdo","Namilas Communication	Nellandai Road Pointperdo",
80.209079,9.781637,"Jai Om Sakthy	Mooththavinayakar Kovil Karanavai","Jai Om Sakthy	Mooththavinayakar Kovil Karanavai",
80.136337,9.663369,"Rajah Stores	Pandaththarippu Kovil Madduvil","Rajah Stores	Pandaththarippu Kovil Madduvil",
80.227489,9.805235,"Thasan Video Centre	1st mile Post Puloly","Thasan Video Centre	1st mile Post Puloly",
80.219851,9.796523,"Pothikai Book Shop	Kandy Road, Chavakachcheri.","Pothikai Book Shop	Kandy Road, Chavakachcheri.",
80.217104,9.790603,"Nithusan Com	Kandy Road, Chavakacheri.","Nithusan Com	Kandy Road, Chavakacheri.",
80.225945,9.782483,"Kajan Vidio 	Kandy Road, Kaithady.","Kajan Vidio 	Kandy Road, Kaithady.",
80.253754,9.816653,"Sanmuganathan Stores	Point Pitro Road,","Sanmuganathan Stores	Point Pitro Road,",
80.188866,9.748648,"Abi Phone Shop	Kandy Road, Chavakachcheri.","Abi Phone Shop	Kandy Road, Chavakachcheri.",
80.177193,9.717517,"Scot Computer Centre	Kandy Road, Chavakachcheri.","Scot Computer Centre	Kandy Road, Chavakachcheri.",
80.199509,9.798722,"Kalai Net Cafe	Kandy Road, Kodigamam.","Kalai Net Cafe Kandy Road, Kodigamam.",
80.215988,9.807011,"Sun View	Point Pitro Road, Kodikamam.","Sun View	Point Pitro Road, Kodikamam.",
80.408249,9.395464,"A9 Road	121811	Rajkumar Browsing Centre	Kilinochchi","A9 Road	121811	Rajkumar Browsing Centre	Kilinochchi",
80.409193,9.387673,"A9 Road	126210	V.R.T Group	Kandy Road,Kilinochchi.","A9 Road	126210	V.R.T Group	Kandy Road,Kilinochchi.",
80.408163,9.383609,"A9 Road	144550	Mobi Pc Tech	A9 Road  kilinochchi","A9 Road	144550	Mobi Pc Tech	A9 Road  kilinochchi",
80.446959,9.129682,"A9 Road	121881	Suba Mobile	A9 Road  ,Mangulam","A9 Road	121881	Suba Mobile	A9 Road  ,Mangulam",
